incident,application,region,prod_line,opened,app_category,priority,urgency,impact,Closed,sup_grp,grp_level,resolved,res_category,cust_time,pend_time,call_log,chat_log
INC000018000834,APP000010007300,R1016,PL1001,2018-02-06 10:32,Software,Priority 3,High,Limited,2018-02-23 0:00,SG1111,Level 1,2018-02-12 4:44,Application Defect (SDLC activities),497519,0,,
INC000018505347,APP000010022869,R1001,PL1001,2018-05-29 1:40,Software,Priority 4,Low,Limited,2018-06-10 0:04,SG1033,Level 2,2018-05-30 22:59,Job Failure,163125,0,,
INC000018492302,APP000010028892,R1007,PL1001,2018-05-25 2:27,Software,Priority 4,Low,Limited,2018-06-07 0:03,SG1123,Level 1,2018-05-27 0:49,User Access / Permission,166906,0,,8.31E+17
INC000019009231,APP000010025582,R1028,PL1001,2018-09-08 1:45,Software,Priority 3,High,Limited,2018-09-21 0:08,SG1072,Level 2,2018-09-10 8:54,Job Failure,198563,0,,
INC000018400656,APP000010007299,R1016,PL1001,2018-05-07 21:20,Software,Priority 3,High,Limited,2018-05-18 0:08,SG1141,Level 2,2018-05-07 21:42,Data Issue,1349,0,,
INC000017850327,APP000010009530,R1007,PL1001,2018-01-05 16:33,Software,Priority 3,High,Limited,2018-01-17 0:02,SG1123,Level 1,2018-01-06 10:25,User knowledge or training error,64325,0,,
INC000019350400,APP000010016140,R1001,PL1001,2018-11-18 21:19,Software,Priority 4,Low,Limited,2018-11-29 0:03,SG1014,Level 2,2018-11-18 22:12,Data Issue,3182,0,,
INC000017913155,APP000010027569,R1024,PL1001,2018-01-18 8:41,Software,Priority 4,Low,Limited,2018-02-09 0:12,SG1178,Level 2,2018-01-29 14:36,Data Issue,971691,0,,
INC000018684768,APP000010007298,R1016,PL1001,2018-07-03 3:21,Software,Priority 3,High,Limited,2018-07-14 0:10,SG1141,Level 2,2018-07-03 13:03,Job Failure,34946,0,,
INC000018834608,APP000010007300,R1016,PL1001,2018-08-02 14:26,Software,Priority 3,High,Limited,2018-08-17 0:06,SG1141,Level 2,2018-08-06 6:42,Capacity/ Disk Space,317746,0,,
INC000018919422,APP000010027318,R1016,PL1002,2018-08-21 8:30,Software,Priority 4,Low,Limited,2018-09-02 0:01,SG1029,Level 2,2018-08-22 15:45,Data Issue,112464,0,,
INC000019376171,APP000010030056,R1001,PL1002,2018-11-23 4:28,Software,Priority 4,Low,Limited,2018-12-04 0:01,SG1123,Level 1,2018-11-23 4:35,User knowledge or training error,417,0,,
INC000017879859,APP0005184,R1024,PL1001,2018-01-11 11:53,Software,Priority 3,High,Limited,2018-01-25 0:03,SG1173,Level 2,2018-01-14 22:50,Configuration Error,298639,220260,,
INC000018222966,APP000010018507,R1001,PL1001,2018-03-28 20:57,Software,Priority 4,Medium,Limited,2018-04-28 0:05,SG1213,Level 2,2018-04-17 0:21,Data Issue,1653844,430999,,
INC000018067198,APP000010027900,R1028,PL1001,2018-02-22 4:05,Software,Priority 3,High,Limited,2018-03-05 0:02,SG1049,Level 2,2018-02-22 9:57,Job Failure,21114,0,,
INC000018817106,APP0000629,R1044,PL1001,2018-07-30 22:40,Software,Priority 4,Low,Limited,2018-08-14 0:06,SG1142,Level 1,2018-08-03 8:18,Data Issue,293829,269272,,
INC000018166589,APP000010023527,R1028,PL1002,2018-03-15 17:50,Software,Priority 3,High,Limited,2018-03-31 0:05,SG1180,Level 2,2018-03-20 12:53,User knowledge or training error,414142,0,,
INC000019161824,APP000010027318,R1016,PL1002,2018-10-09 18:23,Software,Priority 4,Low,Limited,2018-12-18 0:11,SG1029,Level 2,2018-12-07 13:21,Data Issue,5083101,0,,8.31E+17
INC000017899374,APP000010007184,R1007,PL1001,2018-01-16 4:00,Software,Priority 3,High,Limited,2018-01-30 0:14,SG1044,Level 1,2018-01-19 3:40,Configuration Error,258007,254633,,
INC000019099367,APP000010007300,R1016,PL1001,2018-09-26 12:14,Software,Priority 3,High,Limited,2018-10-21 0:00,SG1111,Level 1,2018-10-10 9:41,Data Issue,1200418,0,,
INC000019786712,APP000010027175,R1028,PL1001,2019-02-19 13:11,Software,Priority 4,Low,Limited,2019-02-19 13:23,SG1055,Level 1,2019-02-19 13:23,User knowledge or training error,683,0,,
INC000017834746,APP000010028892,R1007,PL1001,2018-01-03 6:01,Software,Priority 3,High,Limited,2018-01-14 0:15,SG1046,Level 1,2018-01-03 12:12,Job Failure,22265,0,,
INC000018699304,APP000010021703,R1028,PL1001,2018-07-05 15:09,Software,Priority 3,High,Limited,2018-07-17 0:04,SG1009,Level 2,2018-07-06 11:12,Data Issue,72187,0,,
INC000018129322,APP000010025582,R1028,PL1001,2018-03-07 12:47,Software,Priority 4,Low,Limited,2018-04-22 0:09,SG1079,Level 2,2018-04-11 6:27,Data Issue,2997581,661089,,
INC000019249814,APP000010027966,R1007,PL1002,2018-10-26 17:27,Software,Priority 3,High,Limited,2018-12-31 0:10,SG1128,Level 3,2018-12-20 9:43,User knowledge or training error,4727780,2437572,,
INC000018376328,APP000010023792,R1024,PL1001,2018-05-02 9:28,Software,Priority 3,High,Limited,2018-05-13 0:14,SG1177,Level 2,2018-05-02 16:00,Data Issue,23558,9510,,
INC000018138713,APP000010027569,R1024,PL1001,2018-03-09 9:46,Software,Priority 4,Low,Limited,2018-03-23 0:07,SG1178,Level 2,2018-03-12 10:23,Job Failure,257785,242073,,
INC000018816940,APP0000129,R1028,PL1001,2018-07-30 21:29,Software,Priority 4,Low,Limited,2018-08-14 0:03,SG1054,Level 2,2018-08-03 3:08,User Access / Permission,279549,0,,
INC000018104050,APP000010007300,R1016,PL1001,2018-03-01 17:14,Software,Priority 3,High,Limited,2018-03-17 0:15,SG1111,Level 1,2018-03-06 0:40,Data Issue,372370,56056,,
INC000019316670,APP000010022869,R1001,PL1001,2018-11-11 11:18,Software,Priority 4,Low,Limited,2018-11-22 0:02,SG1033,Level 2,2018-11-11 11:35,Data Issue,1040,0,,
INC000018954222,APP000010027318,R1016,PL1002,2018-08-28 12:31,Software,Priority 4,Low,Limited,2018-09-08 0:01,SG1123,Level 1,2018-08-28 12:43,User Access / Permission,739,0,,
INC000019163018,APP000010030056,R1001,PL1002,2018-10-10 2:04,Software,Priority 4,Low,Limited,2018-10-21 0:01,SG1123,Level 1,2018-10-10 2:25,User knowledge or training error,1263,0,,
INC000018969295,APP000010028855,R1016,PL1001,2018-08-31 1:24,Software,Priority 3,High,Limited,2018-09-17 0:04,SG1140,Level 2,2018-09-06 8:59,User Access / Permission,545677,0,,
INC000018086855,APP0005184,R1024,PL1001,2018-02-26 23:11,Software,Priority 4,Medium,Limited,2018-03-10 0:07,SG1006,Level 3,2018-02-27 0:49,Data Issue,5903,0,,
INC000018235641,APP000010018507,R1001,PL1001,2018-04-02 5:45,Software,Priority 4,Low,Limited,2018-12-30 0:03,SG1031,Level 3,2018-12-19 4:24,Application Defect (SDLC activities),22549148,0,,
INC000018580465,APP000010027935,R1028,PL1001,2018-06-11 23:43,Software,Priority 3,High,Limited,2018-06-29 0:02,SG1214,Level 2,2018-06-18 2:20,Data Issue,527829,0,,
INC000017909252,APP000010023527,R1028,PL1002,2018-01-17 14:36,Software,Priority 3,High,Limited,2018-02-05 0:05,SG1180,Level 2,2018-01-25 13:46,Incident Opened in Error / Not serviced,688225,239385,,
INC000018984662,APP000010030073,R1028,PL1002,2018-09-04 7:35,Software,Priority 4,Low,Limited,2018-09-15 0:07,SG1123,Level 1,2018-09-04 8:33,Configuration Error,3484,2451,,
INC000018964588,APP000010007184,R1007,PL1001,2018-08-30 6:14,Software,Priority 3,High,Limited,2018-09-11 0:04,SG1044,Level 1,2018-08-31 10:12,Application Defect (SDLC activities),100699,94801,,
INC000018442492,APP000010007300,R1016,PL1001,2018-05-16 3:36,Software,Priority 3,High,Limited,2018-06-08 0:02,SG1111,Level 1,2018-05-28 2:42,Application Defect (SDLC activities),1033559,0,,
INC000017871441,APP000010021703,R1028,PL1001,2018-01-10 8:19,Software,Priority 3,High,Limited,2018-01-28 0:06,SG1009,Level 2,2018-01-17 9:22,Data Issue,608570,170518,,
INC000018298047,APP000010016140,R1001,PL1001,2018-04-16 2:17,Software,Priority 4,Low,Limited,2018-04-27 0:18,SG1005,Level 2,2018-04-16 5:19,User knowledge or training error,10966,0,,
INC000018475835,APP000010027569,R1024,PL1001,2018-05-22 10:54,Software,Priority 4,Low,Limited,2018-06-03 0:05,SG1178,Level 2,2018-05-23 10:17,User Access / Permission,84160,0,,
INC000018720566,APP0000129,R1028,PL1001,2018-07-10 15:12,Software,Priority 4,Low,Limited,2018-07-27 0:05,SG1123,Level 1,2018-07-16 7:56,User knowledge or training error,492220,0,,8.31E+17
INC000018877880,APP000010007298,R1016,PL1001,2018-08-13 3:54,Software,Priority 4,Low,Limited,2018-08-25 0:10,SG1141,Level 2,2018-08-14 6:14,Job Failure,94792,0,,
INC000019147441,APP000010007300,R1016,PL1001,2018-10-06 16:44,Software,Priority 3,High,Limited,2018-10-07 0:53,SG1111,Level 1,,,12344337,0,,
INC000019149076,APP000010022869,R1001,PL1001,2018-10-07 21:01,Software,Priority 3,High,Limited,2018-10-19 0:06,SG1033,Level 2,2018-10-08 20:42,Data Issue,85303,0,,
INC000019295668,APP000010027318,R1016,PL1002,2018-11-06 12:02,Software,Priority 4,Low,Limited,2018-11-20 0:02,SG1055,Level 1,2018-11-09 20:24,User Access / Permission,289369,285906,,
INC000019438773,APP000010030056,R1001,PL1002,2018-12-05 3:08,Software,Priority 4,Low,Limited,2018-12-16 0:01,SG1123,Level 1,2018-12-05 3:14,User knowledge or training error,417,173,,
INC000018749283,APP0005184,R1024,PL1001,2018-07-16 15:24,Software,Priority 3,High,Limited,2018-07-30 0:06,SG1177,Level 2,2018-07-19 6:12,Data Issue,226119,163306,,
INC000019650563,APP000010006077,R1016,PL1001,2019-01-21 10:10,Software,Priority 3,Medium,Large,2019-02-02 0:05,SG1062,Level 2,2019-01-22 4:17,Data Issue,65208,0,,
INC000018607950,APP000010024817,R1001,PL1002,2018-06-18 1:39,Software,Priority 3,High,Limited,2018-06-29 0:09,SG1171,Level 2,2018-06-18 21:01,Incident Opened in Error / Not serviced,69665,355,,
INC000018718437,APP000010027935,R1028,PL1001,2018-07-10 9:26,Software,Priority 3,High,Limited,2018-07-28 0:01,SG1115,Level 3,2018-07-17 8:32,Job Failure,601574,0,,
INC000018618796,APP0000629,R1044,PL1001,2018-06-19 11:55,Software,Priority 4,Low,Limited,2018-07-03 0:09,SG1142,Level 1,2018-06-22 10:32,Data Issue,254225,0,,8.31E+17
INC000018189957,APP000010008132,R1016,PL1001,2018-03-21 10:49,Software,Priority 3,Medium,Large,2018-04-07 0:09,SG1131,Level 2,2018-03-27 3:14,Data Issue,491085,284652,,
INC000018822026,APP000010023527,R1028,PL1002,2018-07-31 14:51,Software,Priority 3,High,Limited,2018-10-14 0:03,SG1180,Level 2,2018-10-03 16:30,Data Issue,5535569,0,,
INC000019425235,APP000010030073,R1028,PL1002,2018-12-03 9:19,Software,Priority 4,Low,Limited,2018-12-14 0:12,SG1055,Level 1,2018-12-03 9:36,Configuration Error,1022,0,,
INC000018324101,APP000010007184,R1007,PL1001,2018-04-20 9:46,Software,Priority 3,High,Limited,2018-05-05 0:06,SG1044,Level 1,2018-04-24 11:01,Job Failure,350141,348536,,
INC000018134612,APP000010007300,R1016,PL1001,2018-03-08 12:41,Software,Priority 3,High,Limited,2018-04-08 0:00,SG1111,Level 1,2018-03-28 3:23,Data Issue,1690916,0,,
INC000018330202,APP000010022869,R1001,PL1001,2018-04-23 2:44,Software,Priority 3,High,Limited,2018-05-04 0:05,SG1033,Level 2,2018-04-23 3:07,User knowledge or training error,1376,0,,
INC000019685605,APP000010027175,R1028,PL1001,2019-01-28 20:11,Software,Priority 4,Low,Limited,2019-02-08 0:02,SG1055,Level 1,2019-01-28 20:29,User Access / Permission,1076,0,,
INC000018120405,APP000010028895,R1007,PL1001,2018-03-06 3:10,Software,Priority 3,High,Limited,2018-04-28 0:02,SG1165,Level 2,2018-04-17 7:39,Data Issue,3641347,0,,
INC000018337432,APP000010007299,R1016,PL1001,2018-04-24 2:50,Software,Priority 3,High,Limited,2018-05-05 0:09,SG1141,Level 2,2018-04-24 6:13,Job Failure,12186,0,,
INC000018946816,APP000010021703,R1028,PL1001,2018-08-27 10:26,Software,Priority 3,High,Limited,2018-09-17 0:05,SG1009,Level 2,2018-09-06 12:18,Configuration Error,870712,0,,
INC000018607411,APP000010025582,R1028,PL1001,2018-06-17 21:45,Software,Priority 3,High,Limited,2018-06-30 0:12,SG1079,Level 2,2018-06-19 4:20,Job Failure,110138,0,,
INC000019747136,APP0005006,R1007,PL1001,2019-02-11 12:17,Software,Priority 3,High,Limited,2019-02-19 12:35,SG1084,Level 2,2019-02-19 12:35,Configuration Error,692256,55167,,
INC000018038890,APP000010004132,R1016,PL1001,2018-02-15 3:01,Software,Priority 4,Low,Limited,2018-07-06 0:03,SG1148,Level 2,2018-06-25 7:52,Data Issue,11245885,1105392,,
INC000018964481,APP0000129,R1028,PL1001,2018-08-30 5:48,Software,Priority 4,Low,Limited,2018-09-10 0:05,SG1123,Level 1,2018-08-30 5:56,User knowledge or training error,448,0,,8.31E+17
INC000019337477,APP000010007552,R1028,PL1001,2018-11-15 7:51,Software,Priority 4,Low,Limited,2018-11-27 0:08,SG1073,Level 2,2018-11-16 7:06,Job Failure,83738,0,,
INC000018174805,APP000010022869,R1001,PL1001,2018-03-18 19:34,Software,Priority 4,Low,Limited,2018-04-06 0:09,SG1033,Level 2,2018-03-26 11:31,Connectivity,662217,273533,,
INC000018789489,APP000010027318,R1016,PL1002,2018-07-24 17:59,Software,Priority 3,High,Limited,2018-08-10 0:03,SG1029,Level 2,2018-07-30 13:50,Change Implementation,503481,0,,
INC000019350777,APP000010030056,R1001,PL1002,2018-11-18 23:22,Software,Priority 4,Low,Limited,2018-11-29 0:01,SG1123,Level 1,2018-11-18 23:25,User knowledge or training error,176,0,,
INC000018493346,APP000010028855,R1016,PL1001,2018-05-25 6:23,Software,Priority 3,High,Limited,2018-06-11 0:07,SG1140,Level 2,2018-05-31 13:49,Security / Network password,545173,0,,
INC000018050135,APP000010018507,R1001,PL1001,2018-02-18 17:09,Software,Priority 4,Low,Limited,2018-03-06 0:09,SG1213,Level 2,2018-02-23 7:40,Data Issue,397887,0,,
INC000019742344,APP0000629,R1044,PL1001,2019-02-10 15:43,Software,Priority 2,High,Large,2019-02-22 0:13,SG1062,Level 2,2019-02-11 6:27,User knowledge or training error,53029,0,,
INC000019436218,APP000010023527,R1028,PL1002,2018-12-04 15:29,Software,Priority 3,High,Limited,2018-12-21 0:05,SG1180,Level 2,2018-12-10 10:36,Data Issue,500830,0,,
INC000019042142,APP000010027318,R1016,PL1002,2018-09-14 14:46,Software,Priority 4,Low,Limited,2018-10-09 0:09,SG1029,Level 2,2018-09-28 13:50,Incident Opened in Error / Not serviced,1206253,0,,
INC000019170177,APP000010027488,R1001,PL1001,2018-10-11 5:35,Software,Priority 3,High,Limited,2018-10-23 0:08,SG1073,Level 2,2018-10-12 1:08,Data Issue,70340,0,,
INC000019713927,APP000010030231,R1037,PL1001,2019-02-04 9:03,Software,Priority 4,Low,Limited,2019-02-15 0:15,SG1123,Level 1,2019-02-04 9:12,User knowledge or training error,571,0,,8.31E+17
INC000018044255,APP000010007184,R1007,PL1001,2018-02-16 4:49,Software,Priority 4,Low,Limited,2018-02-27 0:06,SG1044,Level 1,2018-02-16 7:55,User Access / Permission,11158,0,,
INC000018333611,APP000010027175,R1028,PL1001,2018-04-23 11:13,Software,Priority 3,High,Limited,2018-05-05 0:01,SG1044,Level 1,2018-04-24 19:58,Data Issue,117917,0,,
INC000018031523,APP000010021703,R1028,PL1001,2018-02-13 11:54,Software,Priority 3,High,Limited,2018-02-24 0:07,SG1009,Level 2,2018-02-13 14:56,Data Issue,10893,0,,
INC000018305496,APP000010025582,R1028,PL1001,2018-04-17 4:23,Software,Priority 3,High,Limited,2018-04-30 0:11,SG1079,Level 2,2018-04-19 3:45,Data Issue,170508,0,,
INC000019166721,APP000010028051,R1028,PL1001,2018-10-10 13:30,Software,Priority 3,High,Limited,2018-10-22 0:02,SG1044,Level 1,2018-10-11 11:08,Physical environmental failure,77890,0,,
INC000018875349,APP0005006,R1007,PL1001,2018-08-12 2:11,Software,Priority 3,High,Limited,2018-08-24 0:08,SG1145,Level 2,2018-08-13 4:37,User Access / Permission,95170,0,,
INC000019067269,APP000010004132,R1016,PL1001,2018-09-20 4:04,Software,Priority 3,High,Limited,2018-10-01 0:06,SG1257,Level 1,2018-09-20 17:07,Connectivity,47016,40349,,
INC000018481955,APP000010027569,R1024,PL1001,2018-05-23 10:10,Software,Priority 4,Low,Limited,2018-06-24 0:06,SG1178,Level 2,2018-06-13 8:15,User Access / Permission,1807498,0,,
INC000019351374,APP000010007552,R1028,PL1001,2018-11-19 2:12,Software,Priority 4,Medium,Limited,2018-12-02 0:08,SG1073,Level 2,2018-11-21 5:36,Job Failure,185044,78182,,
INC000018677654,APP000010022869,R1001,PL1001,2018-07-02 2:42,Software,Priority 4,Medium,Limited,2018-07-21 4:11,SG1033,Level 2,2018-07-10 3:13,Data Issue,693099,7380,,
INC000019155646,APP000010027318,R1016,PL1002,2018-10-08 19:36,Software,Priority 4,Low,Limited,2018-12-18 0:03,SG1029,Level 2,2018-12-07 12:48,Data Issue,5163175,0,,
INC000018316212,APP000010030056,R1001,PL1002,2018-04-19 0:17,Software,Priority 4,Low,Limited,2018-04-30 0:04,SG1123,Level 1,2018-04-19 0:20,User knowledge or training error,182,0,,
INC000018086828,APP0005184,R1024,PL1001,2018-02-26 23:01,Software,Priority 4,Low,Limited,2018-03-10 0:10,SG1006,Level 3,2018-02-27 0:54,Data Issue,6786,0,,
INC000018857130,APP000010006077,R1016,PL1001,2018-08-07 23:59,Software,Priority 3,High,Limited,2018-08-19 0:03,SG1106,Level 2,2018-08-08 10:34,Data Issue,38112,0,,
INC000018150042,APP000010018507,R1001,PL1001,2018-03-12 22:06,Software,Priority 4,Medium,Limited,2018-04-05 0:02,SG1213,Level 2,2018-03-25 0:02,Interface or Middleware,1043765,434710,,
INC000017864286,APP000010027935,R1028,PL1001,2018-01-09 8:21,Software,Priority 4,Medium,Limited,2018-02-16 0:03,SG1214,Level 2,2018-02-05 7:11,Data Issue,2328608,0,,
INC000019001099,APP000010008132,R1016,PL1001,2018-09-06 12:35,Software,Priority 3,High,Limited,2018-09-21 0:06,SG1131,Level 2,2018-09-10 6:52,Data Issue,325067,0,,
INC000019029411,APP000010023527,R1028,PL1002,2018-09-12 12:09,Software,Priority 3,High,Limited,2018-09-30 0:04,SG1180,Level 2,2018-09-19 19:23,User knowledge or training error,630795,0,,
INC000018916403,APP000010027488,R1001,PL1001,2018-08-20 20:58,Software,Priority 4,Low,Limited,2018-09-07 0:08,SG1035,Level 3,2018-08-27 6:55,User knowledge or training error,554182,2019,,
INC000018970343,APP000010007300,R1016,PL1001,2018-08-31 5:17,Software,Priority 4,Low,Limited,2018-09-17 0:02,SG1111,Level 1,2018-09-06 9:46,Configuration Error,534547,0,,8.31E+17
INC000017956310,APP000010022869,R1001,PL1001,2018-01-28 18:40,Software,Priority 3,High,Limited,2018-02-10 0:09,SG1033,Level 2,2018-01-30 8:28,Data Issue,136093,0,,
INC000019615120,APP000010027175,R1028,PL1001,2019-01-14 12:22,Software,Priority 4,Low,Limited,2019-01-25 0:01,SG1055,Level 1,2019-01-14 12:28,User Access / Permission,353,0,,
INC000018635566,APP000010028895,R1007,PL1001,2018-06-22 8:19,Software,Priority 3,High,Limited,2018-07-06 0:07,SG1165,Level 2,2018-06-25 8:58,Capacity/ Disk Space,261572,0,,
INC000019477816,APP000010021703,R1028,PL1001,2018-12-12 10:22,Software,Priority 4,Low,Limited,2018-12-29 0:04,SG1009,Level 2,2018-12-18 9:44,Data Issue,516100,0,,
INC000018326607,APP000010025582,R1028,PL1001,2018-04-21 3:13,Software,Priority 3,High,Limited,2018-05-04 0:14,SG1079,Level 2,2018-04-23 6:29,Data Issue,184509,0,,
INC000017841978,APP0005006,R1007,PL1001,2018-01-04 7:21,Software,Priority 4,Low,Limited,2018-02-03 0:13,SG1123,Level 1,2018-01-23 8:11,User knowledge or training error,1644608,562585,,
INC000019103850,APP000010004132,R1016,PL1001,2018-09-27 6:50,Software,Priority 4,Medium,Limited,2018-10-13 0:05,SG1257,Level 1,2018-10-02 13:44,Connectivity,456840,395905,,
INC000018343171,APP000010016841,R1001,PL1002,2018-04-25 2:30,Software,Priority 4,Low,Limited,2018-05-06 0:02,SG1123,Level 1,2018-04-25 2:34,User knowledge or training error,268,0,,
INC000018980900,APP000010027569,R1024,PL1001,2018-09-03 13:32,Software,Priority 4,Low,Limited,2018-09-15 0:04,SG1177,Level 2,2018-09-04 21:21,Data Issue,114557,0,,
INC000018717882,APP0000129,R1028,PL1001,2018-07-10 8:06,Software,Priority 3,High,Limited,2018-07-22 0:06,SG1114,Level 3,2018-07-11 8:57,Data Issue,89511,0,,
INC000017834659,APP000010007552,R1028,PL1001,2018-01-03 5:44,Software,Priority 4,Medium,Limited,2018-01-16 0:16,SG1103,Level 2,2018-01-05 8:31,Data Issue,182795,0,,
INC000018757559,APP000010022869,R1001,PL1001,2018-07-18 0:23,Software,Priority 4,Medium,Limited,2018-08-04 0:06,SG1033,Level 2,2018-07-24 23:16,Data Issue,600804,420150,,
INC000019455518,APP000010027318,R1016,PL1002,2018-12-07 12:43,Software,Priority 4,Low,Limited,2019-01-25 0:04,SG1029,Level 2,2019-01-14 6:11,Data Issue,3259688,339104,,8.31E+17
INC000019012235,APP000010030056,R1001,PL1002,2018-09-10 2:01,Software,Priority 4,Low,Limited,2018-09-21 0:03,SG1123,Level 1,2018-09-10 2:13,User knowledge or training error,714,0,,
INC000018086414,APP0005184,R1024,PL1001,2018-02-26 20:56,Software,Priority 4,Low,Limited,2018-03-09 0:15,SG1123,Level 1,2018-02-26 21:02,User Access / Permission,302,0,,8.31E+17
INC000019003430,APP000010025221,R1001,PL1001,2018-09-06 22:29,Software,Priority 4,Low,Limited,2018-09-23 0:04,SG1123,Level 1,2018-09-12 21:58,User knowledge or training error,516564,308300,,
INC000018328366,APP000010027935,R1028,PL1001,2018-04-22 10:55,Software,Priority 3,High,Limited,2018-05-04 0:05,SG1214,Level 2,2018-04-23 5:58,Job Failure,68559,0,,
INC000019702866,APP0000629,R1044,PL1001,2019-01-31 20:32,Software,Priority 4,Low,Limited,2019-02-11 0:10,SG1123,Level 1,2019-01-31 21:41,User knowledge or training error,4157,0,,
INC000018334795,APP000010023527,R1028,PL1002,2018-04-23 14:36,Software,Priority 3,High,Limited,2018-05-04 0:10,SG1180,Level 2,2018-04-23 17:58,Data Issue,12136,0,,
INC000018329049,APP000010027488,R1001,PL1001,2018-04-22 21:08,Software,Priority 3,High,Limited,2018-05-04 0:15,SG1024,Level 2,2018-04-23 1:25,Job Failure,15392,0,,
INC000018687443,APP000010007184,R1007,PL1001,2018-07-03 10:28,Software,Priority 4,Low,Limited,2018-07-15 0:07,SG1044,Level 1,2018-07-04 21:42,Data Issue,126863,87120,,
INC000019653137,APP000010007300,R1016,PL1001,2019-01-21 20:09,Software,Priority 3,High,Limited,2019-02-05 0:02,SG1111,Level 1,2019-01-25 16:56,Configuration Error,333988,0,,
INC000018737963,APP000010007299,R1016,PL1001,2018-07-13 12:01,Software,Priority 3,High,Limited,2018-07-26 0:02,SG1141,Level 2,2018-07-15 4:03,Data Issue,144147,0,,
INC000017851845,APP000010025582,R1028,PL1001,2018-01-06 16:28,Software,Priority 3,High,Limited,2018-01-20 0:13,SG1214,Level 2,2018-01-09 0:38,Change Implementation,202218,0,,
INC000018430154,APP000010028170,R1007,PL1001,2018-05-14 8:35,Software,Priority 3,High,Limited,2018-05-28 0:05,SG1196,Level 2,2018-05-17 8:38,Job Failure,259350,0,,
INC000018579156,APP000010004132,R1016,PL1001,2018-06-11 16:29,Software,Priority 4,Low,Limited,2018-07-06 0:15,SG1148,Level 2,2018-06-25 7:56,Data Issue,1178847,0,,
INC000018853657,APP000010007299,R1016,PL1001,2018-08-07 9:39,Software,Priority 4,Low,Limited,2018-08-19 0:03,SG1141,Level 2,2018-08-08 13:08,Data Issue,98938,0,,
INC000017910783,APP000010016841,R1001,PL1002,2018-01-17 22:49,Software,Priority 4,Low,Limited,2018-01-29 0:06,SG1123,Level 1,2018-01-18 5:58,User knowledge or training error,25770,2008,,
INC000019132106,APP000010024042,R1007,PL1001,2018-10-03 8:54,Software,Priority 3,High,Limited,2018-11-17 0:00,SG1018,Level 2,2018-11-06 3:52,Change Implementation,2923117,322814,,
INC000017941108,APP000010027569,R1024,PL1001,2018-01-24 13:34,Software,Priority 4,Low,Limited,2018-02-16 0:07,SG1178,Level 2,2018-02-05 3:45,Data Issue,1001462,0,,
INC000018671116,APP0000129,R1028,PL1001,2018-06-29 9:35,Software,Priority 4,Low,Limited,2018-07-13 0:08,SG1054,Level 2,2018-07-02 2:32,Data Issue,233853,0,,
INC000019270216,APP000010007552,R1028,PL1001,2018-10-31 13:10,Software,Priority 4,Low,Limited,2018-11-13 0:08,SG1073,Level 2,2018-11-02 12:01,Data Issue,168617,0,,
INC000017832793,APP000010022869,R1001,PL1001,2018-01-02 21:40,Software,Priority 4,Low,Limited,2018-01-27 0:11,SG1033,Level 2,2018-01-16 5:48,Data Issue,1152459,435767,,
INC000019196093,APP000010027318,R1016,PL1002,2018-10-16 15:45,Software,Priority 4,Low,Limited,2018-11-03 0:03,SG1029,Level 2,2018-10-23 12:25,User Access / Permission,592793,0,,8.31E+17
INC000019438151,APP000010030056,R1001,PL1002,2018-12-05 0:59,Software,Priority 4,Low,Limited,2018-12-16 0:03,SG1123,Level 1,2018-12-05 1:00,User knowledge or training error,83,0,,
INC000017882061,APP0005184,R1024,PL1001,2018-01-11 21:21,Software,Priority 4,Low,Limited,2018-01-22 0:15,SG1123,Level 1,2018-01-11 21:58,User Access / Permission,2216,0,,
INC000019544373,APP000010025319,R1028,PL1002,2018-12-30 5:24,Software,Priority 4,Low,Limited,2019-01-20 0:03,SG1088,Level 2,2019-01-09 3:36,User knowledge or training error,857550,165403,,8.31E+17
INC000018171460,APP0000629,R1044,PL1001,2018-03-16 14:46,Software,Priority 3,High,Limited,2018-04-03 0:08,SG1142,Level 1,2018-03-23 5:03,Data Issue,569805,350021,,
INC000018319021,APP000010023527,R1028,PL1002,2018-04-19 10:21,Software,Priority 4,Low,Limited,2018-04-30 0:09,SG1180,Level 2,2018-04-19 13:44,Job Failure,12161,0,,
INC000018834308,APP000010007184,R1007,PL1001,2018-08-02 13:23,Software,Priority 4,Low,Limited,2018-08-14 0:10,SG1044,Level 1,2018-08-03 15:00,User Access / Permission,92259,86752,,
INC000019372954,APP000010007300,R1016,PL1001,2018-11-22 7:12,Software,Priority 4,Low,Limited,2018-12-03 0:02,SG1123,Level 1,2018-11-22 7:35,User knowledge or training error,1373,0,,8.31E+17
INC000018695533,APP000010022869,R1001,PL1001,2018-07-05 3:30,Software,Priority 4,Low,Limited,2018-07-27 0:04,SG1033,Level 2,2018-07-16 5:23,Data Issue,957225,104,,
INC000017872032,APP000010021703,R1028,PL1001,2018-01-10 9:31,Software,Priority 3,High,Limited,2018-01-28 0:07,SG1009,Level 2,2018-01-17 15:57,Connectivity,627933,0,,
INC000018187855,APP000010025582,R1028,PL1001,2018-03-21 3:58,Software,Priority 3,High,Limited,2018-04-01 0:14,SG1079,Level 2,2018-03-21 4:29,Job Failure,1852,0,,
INC000018816990,APP000010028170,R1007,PL1001,2018-07-30 22:04,Software,Priority 3,High,Limited,2018-08-11 0:03,SG1115,Level 3,2018-07-31 5:00,Job Failure,24952,0,,
